source,target,value,groupsource,grouptarget
Sacramento Kings,Oklahoma City Thunder,1,Sacramento Kings,Oklahoma City Thunder
Charlotte Bobcats,San Antonio Spurs,1,Charlotte Bobcats,San Antonio Spurs
San Antonio Spurs,Oklahoma City Thunder,1,San Antonio Spurs,Oklahoma City Thunder
Houston Rockets,Brooklyn Nets,1,Houston Rockets,Brooklyn Nets
Chicago Bulls,Miami Heat,1,Chicago Bulls,Miami Heat
Los Angeles Lakers,Milwaukee Bucks,1,Los Angeles Lakers,Milwaukee Bucks
Dallas Mavericks,Charlotte Bobcats,1,Dallas Mavericks,Charlotte Bobcats
Washington Wizards,Toronto Raptors,1,Washington Wizards,Toronto Raptors
Denver Nuggets,Orlando Magic,1,Denver Nuggets,Orlando Magic
Orlando Magic,Minnesota Timberwolves,1,Orlando Magic,Minnesota Timberwolves
Orlando Magic,Toronto Raptors,1,Orlando Magic,Toronto Raptors
Orlando Magic,Milwaukee Bucks,1,Orlando Magic,Milwaukee Bucks
Phoenix Suns,Detroit Pistons,1,Phoenix Suns,Detroit Pistons
Orlando Magic,Chicago Bulls,1,Orlando Magic,Chicago Bulls
Denver Nuggets,Utah Jazz,1,Denver Nuggets,Utah Jazz
Portland Trail Blazers,Houston Rockets,1,Portland Trail Blazers,Houston Rockets
Milwaukee Bucks,Golden State Warriors,1,Milwaukee Bucks,Golden State Warriors
Houston Rockets,Golden State Warriors,1,Houston Rockets,Golden State Warriors
Washington Wizards,Philadelphia 76ers,1,Washington Wizards,Philadelphia 76ers
Utah Jazz,Detroit Pistons,1,Utah Jazz,Detroit Pistons
Oklahoma City Thunder,Dallas Mavericks,1,Oklahoma City Thunder,Dallas Mavericks
Oklahoma City Thunder,Detroit Pistons,1,Oklahoma City Thunder,Detroit Pistons
Philadelphia 76ers,Detroit Pistons,1,Philadelphia 76ers,Detroit Pistons
Chicago Bulls,Detroit Pistons,1,Chicago Bulls,Detroit Pistons
Houston Rockets,Milwaukee Bucks,1,Houston Rockets,Milwaukee Bucks
Phoenix Suns,Houston Rockets,1,Phoenix Suns,Houston Rockets
Toronto Raptors,Oklahoma City Thunder,1,Toronto Raptors,Oklahoma City Thunder
Memphis Grizzlies,Oklahoma City Thunder,1,Memphis Grizzlies,Oklahoma City Thunder
Oklahoma City Thunder,Indiana Pacers,1,Oklahoma City Thunder,Indiana Pacers
Portland Trail Blazers,Chicago Bulls,1,Portland Trail Blazers,Chicago Bulls
Portland Trail Blazers,Toronto Raptors,1,Portland Trail Blazers,Toronto Raptors
New York Knicks,Charlotte Bobcats,1,New York Knicks,Charlotte Bobcats
Oklahoma City Thunder,Charlotte Bobcats,1,Oklahoma City Thunder,Charlotte Bobcats
Philadelphia 76ers,Memphis Grizzlies,1,Philadelphia 76ers,Memphis Grizzlies
Denver Nuggets,Phoenix Suns,1,Denver Nuggets,Phoenix Suns
Denver Nuggets,Houston Rockets,1,Denver Nuggets,Houston Rockets
Atlanta Hawks,Oklahoma City Thunder,1,Atlanta Hawks,Oklahoma City Thunder
Atlanta Hawks,Sacramento Kings,1,Atlanta Hawks,Sacramento Kings
Oklahoma City Thunder,Sacramento Kings,1,Oklahoma City Thunder,Sacramento Kings
Atlanta Hawks,Minnesota Timberwolves,1,Atlanta Hawks,Minnesota Timberwolves
Toronto Raptors,Portland Trail Blazers,1,Toronto Raptors,Portland Trail Blazers
Sacramento Kings,Atlanta Hawks,1,Sacramento Kings,Atlanta Hawks
Los Angeles Lakers,Cleveland Cavaliers,1,Los Angeles Lakers,Cleveland Cavaliers
Phoenix Suns,Atlanta Hawks,1,Phoenix Suns,Atlanta Hawks
Atlanta Hawks,San Antonio Spurs,1,Atlanta Hawks,San Antonio Spurs
San Antonio Spurs,Memphis Grizzlies,1,San Antonio Spurs,Memphis Grizzlies
Houston Rockets,Detroit Pistons,1,Houston Rockets,Detroit Pistons
Houston Rockets,Denver Nuggets,1,Houston Rockets,Denver Nuggets
Golden State Warriors,Orlando Magic,1,Golden State Warriors,Orlando Magic
Los Angeles Lakers,Orlando Magic,1,Los Angeles Lakers,Orlando Magic
New Orleans Pelicans,Orlando Magic,1,New Orleans Pelicans,Orlando Magic
Philadelphia 76ers,Golden State Warriors,1,Philadelphia 76ers,Golden State Warriors
Phoenix Suns,Utah Jazz,1,Phoenix Suns,Utah Jazz
Utah Jazz,Washington Wizards,1,Utah Jazz,Washington Wizards
Los Angeles Clippers,Golden State Warriors,1,Los Angeles Clippers,Golden State Warriors
Golden State Warriors,Indiana Pacers,1,Golden State Warriors,Indiana Pacers
Golden State Warriors,San Antonio Spurs,1,Golden State Warriors,San Antonio Spurs
Orlando Magic,San Antonio Spurs,1,Orlando Magic,San Antonio Spurs
Orlando Magic,Los Angeles Lakers,1,Orlando Magic,Los Angeles Lakers
Philadelphia 76ers,Washington Wizards,1,Philadelphia 76ers,Washington Wizards
Philadelphia 76ers,Oklahoma City Thunder,1,Philadelphia 76ers,Oklahoma City Thunder
Oklahoma City Thunder,New Orleans Pelicans,1,Oklahoma City Thunder,New Orleans Pelicans
Philadelphia 76ers,Boston Celtics,1,Philadelphia 76ers,Boston Celtics
Philadelphia 76ers,Miami Heat,1,Philadelphia 76ers,Miami Heat
Phoenix Suns,Charlotte Bobcats,1,Phoenix Suns,Charlotte Bobcats
Memphis Grizzlies,New Orleans Pelicans,1,Memphis Grizzlies,New Orleans Pelicans
Toronto Raptors,Houston Rockets,1,Toronto Raptors,Houston Rockets
Dallas Mavericks,Toronto Raptors,1,Dallas Mavericks,Toronto Raptors
Philadelphia 76ers,Utah Jazz,1,Philadelphia 76ers,Utah Jazz
Philadelphia 76ers,Toronto Raptors,1,Philadelphia 76ers,Toronto Raptors
Cleveland Cavaliers,Boston Celtics,1,Cleveland Cavaliers,Boston Celtics
Dallas Mavericks,Washington Wizards,1,Dallas Mavericks,Washington Wizards
Sacramento Kings,Boston Celtics,1,Sacramento Kings,Boston Celtics
Milwaukee Bucks,Boston Celtics,1,Milwaukee Bucks,Boston Celtics
Chicago Bulls,Portland Trail Blazers,1,Chicago Bulls,Portland Trail Blazers
Memphis Grizzlies,Portland Trail Blazers,1,Memphis Grizzlies,Portland Trail Blazers
Orlando Magic,Portland Trail Blazers,1,Orlando Magic,Portland Trail Blazers
Oklahoma City Thunder,Atlanta Hawks,1,Oklahoma City Thunder,Atlanta Hawks
Minnesota Timberwolves,Atlanta Hawks,1,Minnesota Timberwolves,Atlanta Hawks
Atlanta Hawks,Miami Heat,1,Atlanta Hawks,Miami Heat
Miami Heat,Atlanta Hawks,1,Miami Heat,Atlanta Hawks
